FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Karayevia,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia amoena,2,yes,,BN,,,,,,,,,,NM,,,,B,Halo,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia bottnica,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia clevei,3,,,BN,4,,yes,,,,,high,,NM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia laterostrata,2,yes,,BN,5,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia nitidiformis,2,yes,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia oblongella,2,yes,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia ploenensis,4,,yes,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia ploenensis var gessneri,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Karayevia suchlandtii,2,yes,,BN,,,,,,,,low,low,NM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Karayevia
Kirchneriella,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Kirchneriella
Kirchneriella irregularis,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Kirchneriella
Kirchneriella lunaris,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Kirchneriella
Kirchneriella obesa,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Kirchneriella
Klebsormidium,2,yes,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
Klebsormidium crenulatum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
Klebsormidium flaccidum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
Klebsormidium klebsii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
Klebsormidium rivulare,2,yes,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
Klebsormidium subtile,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
Klebsormidium subtilissimum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Charophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium
Kobayasiella,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Kobayasiella
Kobayasiella micropunctata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Kobayasiella
Kobayasiella subtilissima,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Kobayasiella
Kolbesia,,,,BN,3.8,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Kolbesia
Kolbesia gessneri,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Kolbesia
Kolbesia kolbei,,,,BN,4,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidaceae,Kolbesia
Kolbesia suchlandtii,2,yes,,BN,4.5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Kolbesia
Komvophoron,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Borziaceae,Komvophoron
Komvophoron constrictum,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Borziaceae,Komvophoron
Komvophoron minutum,3,,,,,,,,high,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Borziaceae,Komvophoron
Komvophoron schmidlei,4,,yes,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Borziaceae,Komvophoron
Krasskella,,,,,3.8,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Krasskella
Krasskella kriegeriana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Krasskella
Lacunastrum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Lacunastrum
Lacunastrum gracillimum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,Lacunastrum
Lagynion,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Chrysophyceae,Hibberdiales,Stylococcaceae,NA
Leibleinia,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Leibleinia
Leibleinia epiphytica,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Leibleinia
Lemanea,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Lemanea
Lemanea condensata,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Lemanea
Lemanea fluviatilis,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Lemanea
Lemaneaceae,,,,,,,,,,,,,,,,,,,,,,,yes,,,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,NA
Lemnicola,,,,BN,2.8,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Lemnicola
Lemnicola hungarica,4,,yes,BN,2,yes,,,,,,,,NM,NAHON,NAHON,DO_30,FB,FB,AM,PH,,,,,Bacillariophyta,Bacillariophyceae,Achanthales,Achnanthidiaceae,Lemnicola
Lepocinclis,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis
Lepocinclis acus,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis
Lepocinclis ovum,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Lepocinclis
Lepocinclis oxyuris,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis
Lepocinclis spirogyroides,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis
Lepocinclis texta,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis
Lepocinclis tripteris,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis
Lepocinclisiroides,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Phacaceae,Lepocinclis
Leptolyngbya,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya foveolara,,,,,,,,,,high,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya granulifera,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya lagerheimii,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya laminosa,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya nostocorum,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya notata,3,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya tenuis,4,,yes,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbya valderiana,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Leptolyngbyoideae,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,NA
Limnococcus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Limnococcus
Limnococcus limneticus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Limnococcus
Limnothrix,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Limnothrix
Lindavia antiqua,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Lindavia
Lindavia intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Lindavia
Lobomonas,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Lobomonas
Luticola,,,,BN,2.9,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola cohnii,,,,BN,2,yes,,,,,,,,MM,NAHON,NAHON,DO_100,BF,Halo,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola dismutica,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola goeppertiana,5,,yes,BN,2,yes,,,,,,high,high,MM,NHHONF,Heterotroph,DO_30,FB,FB,AMPS,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola heufleriana,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola mutica,5,,yes,BN,2,yes,,,,,,high,,MM,NAHON,NAHON,DO_100,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola mutica var ventricosa,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola muticoides,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola muticopsis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola nivalis,,,,BN,5,,yes,,,,,,,MM,,,,BF,Halo,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola saxophila,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola stigma,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola undulata,,,,,5,,yes,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Luticola ventricosa,,,,,2,yes,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Luticola
Lyngbya,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Lyngbya aestuarii,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Lyngbya hieronymusii,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Lyngbya major,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Lyngbya majuscula,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Lyngbya martensiana,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Lyngbya nigra,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Lyngbya stagnina,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Lyngbya
Mallomonas,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Chrysophyceae,Ochromonadales,Synuraceae,Mallomonas
Martyana,,,,BN,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Martyana
Martyana atomus,,,,BN,,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Martyana
Martyana martyi,3,,,BN,3,,,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Martyana
Mastogloia,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia albertii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia calcarea,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia elliptica,3,,,BN,,,,,,,,low,low,MM,,,,B,Halo,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia grevillei,,,,BN,,,,,,,,,,MM,,,,FB,FB,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia pseudosmithii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia smithii,,,,BN,,,,,,,,low,low,MM,,,,B,Halo,BM,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mastogloia smithii var lacustris,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Mastogloia
Mayamaea,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea agrestis,,,,BN,4,,yes,,,,,high,high,MM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea atomus,4,,yes,BN,2.2,,,,,,,high,high,MM,NHHONO,Heterotroph,DO_75,FB,FB,AMPS,PH,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea fossalis,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea fossalis var obsidialis,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea muraliformis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Mayamaea permitis,4,,yes,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Mayamaea
Melosira,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Melosiraceae,Melosira
Melosira undulata,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Melosiraceae,Melosira
Melosira varians,4,,yes,BN,4,,yes,,,,,high,,NM,NHHONF,Heterotroph,DO_50,FB,FB,AM,E,,,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Melosiraceae,Melosira
Meridion,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Meridion circulare,2,yes,,BN,5,,yes,,,,,high,high,NM,NAHON,NAHON,DO_75,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Meridion circulare var constrictum,2,yes,,BN,5,,yes,,,,,high,,NM,NAHON,NAHON,DO_75,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Meridion lineare,,,,BN,5,,yes,,,,,,,NM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Meridion
Merismopedia,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia
Merismopedia convoluta,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia
Merismopedia glauca,3,,,,,,,,,,,,low,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia
Merismopedia punctata,5,,yes,,,,,,high,high,,high,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia
Merismopedia tenuissima,5,,yes,,,,,,,high,NRF,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia
Merismopedia trolleri,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Merismopedia
Micractinium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium
Micractinium pusillum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Micractinium
Microchaete,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Microchaete
Microchaete calothrichoides,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Microchaete
Microchaete elongata,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Microchaete
Microchaete investiens,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Microchaete
Microchaete tenera,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Microchaete
Microcoleus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
Microcoleus californicus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
Microcoleus codii,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
Microcoleus lacustris,4,,yes,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
Microcoleus subtorulosus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
Microcoleus vaginatus,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Microcoleus
Microcostatus,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Microcostatus
Microcostatus krasskei,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Microcostatus
Microcrocis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Microcrocis
Microcrocis gigas,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Microcrocis
Microcrocis irregularis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Microcrocis
Microcystis,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis
Microcystis aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis
Microcystis firma,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis
Microspora,,,,,,,,,low,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora abbreviata,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora amoena,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora crassior,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora floccosa,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora pachyderma,3,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora stagnorum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora tumidula,3,,,,,,,,low,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microspora wittrockii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Microsporales,Microsporaceae,Microspora
Microthamnion,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Pleurastrophyceae,Pleurastrales,Pleurastraceae,Microthamnion
Microthamnion kuetzingianum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Pleurastrophyceae,Pleurastrales,Pleurastraceae,Microthamnion
Mischococcus,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Mischococcaceae,Mischococcus
Mischococcus confervicola,,,,,,,,,,,,,,,,,,,,,,,,,,Ochrophyta,Xanthophyceae,Mischococcales,Mischococcaceae,Mischococcus
Monomorphina,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Monomorphina
Monomorphina aenigmatica,,,,,,,,,,,,,,,,,,,,,,,,,,Euglenozoa,Euglenophyceae,Euglenales,Euglenaceae,Monomorphina
Monoraphidium,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monoraphidium arcuatum,4,,yes,,,,,,,high,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monoraphidium contortum,4,,yes,,,,,,high,high,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monoraphidium griffithii,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monoraphidium irregulare,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monoraphidium minutum,5,,yes,,,,,,high,high,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monoraphidium obtusum,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monoraphidium tortile,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Monoraphidium
Monostroma membranaceum,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Ulvophyceae,Ulotrichales,Monostromataceae,Monostroma
Mougeotia,3,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Mougeotia
