FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus
Rossithidium duthiei,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium
Rossithidium linearis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium
Rossithidium nodosum,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium
Rossithidium petersennii,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium
Rossithidium pusillum,2,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,FB,OS,O,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium
Sellaphora,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora alastos,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora americana,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora atomoides,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora bacilloides,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora bacillum,2,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_75,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora crassulexigua,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora disjuncta,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora hustedtii,,BN,NA,NA,NA,NA,NA,high,MM,NA,DO_100,F,NA,NA,NA,NA,NA,F,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora joubaudii,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,BM,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora laevissima,3,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_100,F,OS,M,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora minima,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora mutata,,BN,NA,NA,NA,NA,high,high,MM,NA,NA,FB,BM,OM,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora nigri,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora nyassensis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora pseudopupula,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora pupula,5,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,FB,AM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora rectangularis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora saugerresii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora seminulum,3,BN,NA,NA,NA,NA,high,high,MM,NHHONF,DO_30,FB,AMPS,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora stroemii,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Sellaphora utermoehlii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora
Seminavis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Seminavis
Seminavis pusilla,5,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Seminavis
Seminavis strigosa,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Seminavis
Simonsenia,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Simonsenia
Simonsenia delognei,3,BN,NA,NA,NA,NA,NA,high,HM,NA,DO_100,BF,AM,E,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Simonsenia
Skeletonema potamos,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Mediophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema
Stauroforma,,,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Stauroforma
Stauroforma atomus,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Stauroforma
Stauroforma exiguiformis,,,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Stauroforma
Stauroneis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis anceps,3,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_75,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis gracilis,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis kootenai,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis kriegeri,3,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_75,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis legumen,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis lundii,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis neohyalina,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis obtusa,,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis phoenicenteron,3,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_50,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis pikuni,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis producta,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis reichardtii,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis separanda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis smithii,4,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_100,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis sonyae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis tackei,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis thermicola,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis undata,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Stauroneis wislouchii,,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis
Staurosira,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira bidens,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens,4,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var binodis,4,BN,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_100,FB,OS,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var exigua,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var pumila,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira construens var venter,4,BN,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_100,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira incerta,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosira punctiformis,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosira
Staurosirella,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella berolinensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella confusa,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella lapponica,3,BN,NA,NA,NA,NA,NA,low,NM,NA,NA,FB,NA,NA,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella leptostauron,3,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella leptostauron var dubia,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella martyi,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella oldenburgiana,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella pinnata,4,BN,NA,NA,NA,NA,low,high,NM,NAHON,DO_100,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella pinnata var intercedens,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella pinnata var lancettula,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Staurosirella rhomboides,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Staurosirella
Stenopterobia,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Stenopterobia
Stenopterobia curvula,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Stenopterobia
Stenopterobia delicatissima,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Stenopterobia
Stephanodiscus,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus alpinus,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus excentricus,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus hantzschii,5,P,NA,NA,NA,NA,high,high,NM,NHHONF,DO_30,FB,AMPS,PH,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus medius,4,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus minutulus,,P,NA,NA,NA,NA,high,NA,NM,NAHON,DO_50,FB,AM,PH,NA,NA,NA,FB,NAHON,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus niagarae,4,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Stephanodiscus parvus,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus
Surirella,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella amphioxys,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella angusta,4,BN,NA,NA,NA,NA,high,high,HM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella bifrons,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,FB,OS,E,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella biseriata,4,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,FB,BM,E,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella bohemica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella brebissonii,5,BN,NA,NA,NA,NA,high,high,HM,NA,NA,BF,NA,NA,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella brebissonii var kuetzingii,,BN,NA,NA,NA,NA,high,NA,HM,NAHON,DO_50,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella brebissonii var punctata,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella brightwellii,4,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella elegans,,BN,NA,NA,NA,NA,NA,NA,HM,NA,DO_100,FB,OS,ME,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella gracilis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella helvetica,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella iowensis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella linearis,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella linearis var constricta,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella minuta,4,BN,NA,NA,NA,NA,high,high,HM,NA,DO_50,FB,AM,E,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella ovalis,5,BN,NA,NA,NA,NA,low,low,HM,NAHON,DO_30,B,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella ovata,4,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella robusta,4,BN,NA,NA,NA,NA,NA,NA,HM,NA,DO_75,FB,BM,I,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella stalagma,,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella striatula,5,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,B,NA,E,NA,NA,NA,Halo,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella suecica,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirella tenera,,BN,NA,NA,NA,NA,NA,low,HM,NA,DO_75,FB,BM,E,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,NA
Surirellairalis,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Surirellalendida,,BN,NA,NA,NA,NA,low,NA,HM,NA,DO_75,FB,BM,ME,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella
Synedra,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra acus,4,BN,NA,NA,NA,NA,low,low,NM,NAHON,DO_75,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra cyclopum,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra delicatissima,4,BN,NA,NA,NA,NA,NA,low,NM,NA,NA,FB,NA,M,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra gaillonii,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra goulardi,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra mazamaensis,2,BN,NA,NA,NA,NA,low,low,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra rumpens,4,BN,NA,NA,NA,NA,NA,low,NM,NA,NA,FB,NA,OM,NA,NA,NA,FB,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra socia,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra tenera,,BN,NA,NA,NA,NA,NA,low,NM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra ulna,4,BN,NA,NA,NA,NA,low,low,NM,NAHON,DO_50,FB,AMPS,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra ulna var amphirhynchus,,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra ulna var constricta,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Synedra ulna var oxyrhynchus,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Synedra
Tabellaria,,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,,,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Tabellaria
Tabellaria fenestrata,2,P,NA,NA,NA,NA,NA,low,NM,NALON,DO_100,F,BM,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Tabellaria
Tabellaria flocculosa,2,P,NA,NA,NA,NA,low,low,NM,NALON,DO_100,F,BM,M,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Tabellaria
